farmer_id,name,location,product
F7566,Amit,Karnataka,Rice
F6988,Rajesh,Karnataka,Maize
F2593,Amit,UP,Wheat
F1888,Manoj,UP,Potato
F9899,Manoj,Karnataka,Soybean
F6292,Ravi,Karnataka,Wheat
F4361,Ravi,Haryana,Soybean
F3539,Unknown,UP,Maize
F6181,Amit,Punjab,Wheat
F6348,Amit,Unknown,Rice
F1463,Sunil,UP,Rice
F6119,Amit,Punjab,Rice
F8408,Amit,UP,Rice
F5959,Ravi,Maharashtra,Soybean
F8035,Rajesh,Haryana,Rice
F1834,Sunil,Haryana,Soybean
F4147,Ravi,Maharashtra,Soybean
F9017,Rajesh,Punjab,Wheat
F8143,Rajesh,Haryana,Potato
F3104,Rajesh,Punjab,Potato
F4088,Ravi,Maharashtra,Wheat
F9568,Rajesh,UP,Rice
F1707,Manoj,Punjab,Potato
F6698,Amit,Karnataka,Soybean
F4559,Ravi,Unknown,Maize
F2006,Amit,Maharashtra,Wheat
F3797,Manoj,Unknown,Maize
F2591,Sunil,Punjab,Rice
F5160,Sunil,Haryana,Rice
F5557,Rajesh,UP,Wheat
F5738,Manoj,Punjab,Rice
F8831,Ravi,Maharashtra,Soybean
F5254,Unknown,Maharashtra,Maize
F2817,Rajesh,Maharashtra,Soybean
F8895,Sunil,Karnataka,Maize
F3386,Amit,UP,Soybean
F4154,Amit,Karnataka,Soybean
F1684,Unknown,UP,Maize
F3701,Ravi,Haryana,Wheat
F7220,Unknown,Haryana,Potato
F5995,Rajesh,UP,Soybean
F3560,Rajesh,Haryana,Potato
F4340,Manoj,Maharashtra,Soybean
F9437,Ravi,Punjab,Rice
F6077,Unknown,Maharashtra,Rice
F1943,Unknown,Punjab,Wheat
F2415,Manoj,Unknown,Soybean
F9796,Manoj,Punjab,Maize
F7350,Unknown,Karnataka,Wheat
F1057,Sunil,Unknown,Rice
F7187,Rajesh,Haryana,Soybean
F5123,Amit,Punjab,Maize
F5819,Ravi,Unknown,Wheat
F2379,Amit,Maharashtra,Soybean
F8888,Unknown,Karnataka,Rice
F3698,Ravi,UP,Maize
F8393,Manoj,Haryana,Maize
F4075,Amit,UP,Wheat
F2377,Rajesh,Maharashtra,Soybean
F2242,Rajesh,Unknown,Rice
F4945,Unknown,Punjab,Soybean
F9862,Unknown,Haryana,Rice
F6210,Ravi,Maharashtra,Potato
F7889,Unknown,UP,Soybean
F4496,Unknown,Maharashtra,Soybean
F5257,Sunil,Punjab,Wheat
F5588,Rajesh,Maharashtra,Rice
F7902,Ravi,Unknown,Maize
F8207,Sunil,Unknown,Potato
F3246,Unknown,Punjab,Rice
F6232,Rajesh,Maharashtra,Rice
F6462,Manoj,Haryana,Rice
F8440,Rajesh,Unknown,Rice
F1963,Sunil,Haryana,Soybean
F8496,Rajesh,Maharashtra,Potato
F7192,Manoj,Karnataka,Maize
F1021,Sunil,Maharashtra,Maize
F8063,Sunil,Maharashtra,Rice
F6034,Unknown,Karnataka,Wheat
F7776,Manoj,Unknown,Wheat
F3456,Rajesh,Maharashtra,Maize
F5808,Amit,Haryana,Potato
F5502,Unknown,Haryana,Rice
F1549,Manoj,Karnataka,Soybean
F9233,Manoj,UP,Rice
F3343,Amit,Haryana,Wheat
F3069,Manoj,UP,Rice
F5978,Unknown,UP,Wheat
F9189,Ravi,Maharashtra,Potato
F7864,Unknown,Punjab,Soybean
F2857,Rajesh,Punjab,Soybean
F5398,Unknown,Punjab,Wheat
F7979,Manoj,Unknown,Soybean
F5229,Rajesh,Haryana,Soybean
F4358,Amit,Maharashtra,Potato
F7485,Rajesh,Karnataka,Wheat
F9038,Ravi,Unknown,Maize
F8233,Amit,Unknown,Soybean
F6466,Rajesh,Unknown,Rice
F9462,Rajesh,UP,Soybean
F4605,Manoj,Unknown,Potato
F3539,Rajesh,Haryana,Maize
F5831,Manoj,Haryana,Rice
F8477,Ravi,UP,Rice
F8857,Rajesh,Karnataka,Potato
F5531,Amit,Maharashtra,Rice
F3358,Sunil,Punjab,Soybean
F3048,Manoj,Punjab,Rice
F1036,Rajesh,Haryana,Potato
F9302,Rajesh,Haryana,Wheat
F1984,Amit,Unknown,Maize
F2393,Unknown,Haryana,Wheat
F6524,Rajesh,Unknown,Rice
F3828,Amit,Punjab,Potato
F8201,Manoj,Unknown,Rice
F9046,Sunil,Haryana,Rice
F3783,Unknown,Unknown,Rice
F5824,Amit,Punjab,Rice
F6393,Rajesh,Punjab,Wheat
F5484,Rajesh,Karnataka,Soybean
F5037,Rajesh,Karnataka,Maize
F8368,Amit,UP,Potato
F8952,Sunil,Karnataka,Wheat
F2477,Ravi,UP,Wheat
F6672,Manoj,UP,Rice
F8019,Rajesh,UP,Maize
F8670,Sunil,Maharashtra,Maize
F6743,Rajesh,UP,Potato
F2091,Ravi,Punjab,Rice
F2025,Amit,Karnataka,Maize
F8396,Rajesh,Karnataka,Rice
F1186,Sunil,Haryana,Soybean
F3362,Manoj,Maharashtra,Rice
F9773,Unknown,UP,Rice
F9646,Ravi,Punjab,Soybean
F7493,Unknown,Unknown,Potato
F1767,Ravi,Haryana,Potato
F5746,Sunil,Unknown,Potato
F8838,Manoj,UP,Potato
F8687,Unknown,Unknown,Soybean
F7469,Sunil,UP,Rice
F9540,Amit,Punjab,Soybean
F4713,Sunil,Karnataka,Potato
F5034,Rajesh,Karnataka,Soybean
F2884,Sunil,Haryana,Soybean
F3116,Manoj,Maharashtra,Maize
F4556,Ravi,Karnataka,Rice
F3864,Ravi,Maharashtra,Potato
F2137,Rajesh,UP,Wheat
F6709,Sunil,Unknown,Soybean
F7987,Amit,UP,Rice
F6467,Sunil,Unknown,Maize
F1604,Amit,Karnataka,Maize
F8356,Sunil,Punjab,Soybean
F8036,Manoj,Punjab,Soybean
F1170,Sunil,Haryana,Soybean
F9136,Ravi,UP,Soybean
F8123,Manoj,Unknown,Soybean
F4929,Unknown,Haryana,Rice
F6717,Manoj,Punjab,Maize
F6438,Ravi,Unknown,Maize
F8755,Sunil,Karnataka,Wheat
F8085,Rajesh,Maharashtra,Soybean
F7225,Ravi,Karnataka,Rice
F6302,Manoj,Unknown,Soybean
F9644,Sunil,UP,Maize
F6217,Ravi,Unknown,Maize
F3075,Sunil,Karnataka,Wheat
F3076,Manoj,Karnataka,Rice
F7031,Ravi,Maharashtra,Wheat
F1281,Manoj,Maharashtra,Maize
F7330,Rajesh,UP,Potato
F5937,Sunil,Karnataka,Rice
F2049,Rajesh,Punjab,Soybean
F9936,Sunil,Haryana,Potato
F9792,Unknown,Haryana,Soybean
F6789,Rajesh,Haryana,Rice
